Conexao;Grau de centralidade
CMN01;0.1389
CORE01;0.5
AGG_CMN;0.0278
IPQ;0.0556
INRAD;0.0278
PABX;0.0278
ICHC01;0.0278
EEP01;0.0278
PABX01;0.0278
CDM01;0.0278
FFM;0.0278
SECSAUDE;0.0278
REP DEGAS_USP;0.0278
ICR01;0.1389
PACS01;0.1389
FM01;0.0278
INCOR01;0.0278
CORE02;0.4722
TELEMEDICINA;0.0278
DC01;0.0556
DC02;0.0556
MGMT_DELL;0.0278
NETI01;0.0278
PA;0.0278
CCR01;0.0278
CEAC01;0.0278
PAMB01;0.0278
ER;0.0278
CLAUDIA;0.0278
INRAD01;0.0556
PISA01;0.0556
ICESP01;0.0278
IPQ01;0.0278
IOT01;0.0556
Switch_Agg_ICX;0.0278
AGG_PACS;0.0278
NETI;0.0278
