Fonte;Conexao;Giga
CMN01;CORE01;10.0
CMN01;AGG_CMN;10.0
CMN01;IPQ;10.0
CMN01;INRAD;10.0
CMN01;PABX;10.0
CORE01;ICHC01;10.0
CORE01;IPQ;1.0
CORE01;EEP01;10.0
CORE01;PABX01;10.0
CORE01;CDM01;1.0
CORE01;FFM;1.0
CORE01;SECSAUDE;1.0
CORE01;REP DEGAS_USP;1.0
CORE01;ICR01;10.0
CORE01;CMN01;10.0
CORE01;PACS01;10.0
CORE01;FM01;10.0
CORE01;INCOR01;10.0
CORE01;CORE02;10.0
CORE01;CORE02;10.0
CORE01;TELEMEDICINA;10.0
CORE01;DC01;10.0
CORE01;DC02;10.0
CORE01;MGMT_DELL;1.0
CORE02;NETI01;10.0
CORE02;PA;1.0
CORE02;CCR01;10.0
CORE02;CEAC01;10.0
CORE02;PAMB01;10.0
CORE02;ER;1.0
CORE02;CLAUDIA;1.0
CORE02;NETI01;1.0
CORE02;INRAD01;10.0
CORE02;PISA01;10.0
CORE02;PACS01;10.0
CORE02;ICESP01;10.0
CORE02;IPQ01;10.0
CORE02;IOT01;10.0
CORE02;ICR01;10.0
CORE02;CORE01;10.0
CORE02;CORE01;10.0
CORE02;DC02;10.0
CORE02;DC01;10.0
ICR01;CORE01;10.0
ICR01;Switch_Agg_ICX;10.0
ICR01;PISA01;10.0
ICR01;CORE02;10.0
ICR01;IOT01;10.0
PACS01;CORE01;10.0
PACS01;AGG_PACS;10.0
PACS01;INRAD01;10.0
PACS01;AGG_PACS;10.0
PACS01;CORE02;10.0
PACS01;NETI;10.0
